CCTV,region,lat,lon,count
AID01101,Southern,22.248091,114.152525,1319
AID01102,Southern,22.24712681,114.1577149,1063
AID01103,Southern,22.24863539,114.1621481,1974
AID01104,Southern,22.24837379,114.1658151,1098
AID01105,Southern,22.2496834,114.1686381,1136
AID01106,Southern,22.25044211,114.1718782,2068
AID01107,Southern,22.24999065,114.1762923,1779
AID01108,Wan Chai,22.27186288,114.1801247,2528
AID01109,Wan Chai,22.27659491,114.1810758,2947
AID01110,Wan Chai,22.279356,114.181217,3205
AID01111,Kowloon City,22.30412026,114.1809989,3493
AID01112,Kowloon City,22.30492398,114.1813386,3572
AID01113,Yau Tsim Mong,22.31029,114.17816,1591
AID01114,Kowloon City,22.31330444,114.1769423,1677
AID01115,Kowloon City,22.31850605,114.1789805,2512
AID01116,Kowloon City,22.32074565,114.1786797,1266
AID01117,Kowloon City,22.32435789,114.1783109,2480
AID01118,Kowloon City,22.32843068,114.178476,1948
AID01120,Kowloon City,22.33496881,114.1788837,2184
AID01121,Kowloon City,22.33848171,114.1791459,2240
AID01122,Kowloon City,22.34191,114.17893,1736
AID01123,Kowloon City,22.34521846,114.1813302,2368
AID01124,Sha Tin,22.3592791,114.1751851,2088
AID01125,Sha Tin,22.3634241,114.1798453,2032
AID01126,Sha Tin,22.36544683,114.1836319,2695
AID01127,Sha Tin,22.36700899,114.1859817,2188
AID01128,Sha Tin,22.37114477,114.1892152,1804
AID01129,Sha Tin,22.37381747,114.1929731,1977
AID01130,Sha Tin,22.37448544,114.1957016,1301
AID01131,Sha Tin,22.37624602,114.1986634,1702
AID01132,Sha Tin,22.3809075,114.2005981,2015
AID01133,Sha Tin,22.38371,114.20142,2068
AID01134,Sha Tin,22.38752486,114.2006753,1015
AID01135,Sha Tin,22.39016201,114.1990055,1255
AID01136,Sha Tin,22.39401803,114.1990838,885
AID01201,Wong Tai Sin,22.34566999,114.1815632,2407
AID01202,Kowloon City,22.3424,114.17875,1512
AID01203,Kowloon City,22.33891517,114.1791653,2272
AID01204,Kowloon City,22.33496881,114.1789128,2294
AID01206,Kowloon City,22.32842165,114.1786021,1410
AID01207,Kowloon City,22.32398763,114.1782818,2334
AID01208,Kowloon City,22.32130555,114.1782623,1545
AID01209,Kowloon City,22.31849702,114.179,1508
AID01210,Kowloon City,22.31330444,114.1769617,1798
AID01211,Kowloon City,22.31041465,114.1782331,1829
AID01212,Kowloon City,22.3094574,114.1788251,1969
AID01213,Kowloon City,22.30526714,114.1814745,4640
AID01214,Wan Chai,22.280729,114.180701,2602
AID01215,Wan Chai,22.278219,114.181221,1259
AID01216,Wan Chai,22.27331682,114.1796008,999
AID01217,Southern,22.250597,114.177565,1193
AID01218,Southern,22.25005384,114.1737118,1541
AID01219,Southern,22.25007176,114.1694335,1266
AID01220,Southern,22.2482744,114.1650487,1210
AID01221,Southern,22.24862632,114.1617697,1625
AID01222,Southern,22.24761461,114.1590439,1191
AID01223,Southern,22.24747861,114.1546396,882
AID02104,Kwun Tong,22.30694617,114.2331057,1459
AID02105,Kwun Tong,22.30887989,114.2296126,1617
AID02106,Kwun Tong,22.30812221,114.2267978,1822
AID02107,Kwun Tong,22.30651544,114.2245554,1770
AID02108,Kwun Tong,22.30788913,114.2208679,2479
AID02109,Kwun Tong,22.31151117,114.2179477,1951
AID02110,Kwun Tong,22.31318224,114.2163274,1960
AID02111,Kwun Tong,22.31551267,114.2140375,2122
AID02112,Kwun Tong,22.316913,114.2113882,2426
AID02113,Kwun Tong,22.31887341,114.2075548,1137
AID02114,Kwun Tong,22.3228384,114.2044691,1263
AID02115,Kwun Tong,22.32760644,114.2051204,1628
AID02116,Kwun Tong,22.33323248,114.2051603,1622
AID02117,Wong Tai Sin,22.33842535,114.2034335,978
AID02118,Sha Tin,22.37826677,114.2107819,1736
AID02119,Sha Tin,22.38236672,114.2103459,1651
AID02120,Sha Tin,22.3877668,114.2111629,1606
AID02121,Sha Tin,22.39230051,114.2092801,1980
AID02122,Sha Tin,22.3965898,114.2102328,1463
AID02123,Sha Tin,22.39997576,114.2124769,2678
AID02124,Sha Tin,22.40280159,114.215634,1755
AID02125,Sha Tin,22.40600689,114.2177521,1980
AID02126,Sha Tin,22.40936721,114.2137031,1430
AID02127,Sha Tin,22.41184191,114.21214,2653
AID02201,Wong Tai Sin,22.34024044,114.2038221,1392
AID02202,Wong Tai Sin,22.3353096,114.2046366,1513
AID02203,Kwun Tong,22.33237458,114.2051116,927
AID02204,Kwun Tong,22.32719107,114.2049068,1119
AID02205,Kwun Tong,22.32376857,114.2043431,1106
AID02206,Kwun Tong,22.31925276,114.2072249,2046
AID02207,Kwun Tong,22.31706671,114.2104759,1913
AID02208,Kwun Tong,22.31617205,114.2133874,2565
AID02209,Kwun Tong,22.31284803,114.2166476,1415
AID02210,Kwun Tong,22.3111589,114.2182776,1380
AID02211,Kwun Tong,22.3086298,114.2202955,2174
AID02212,Kwun Tong,22.30629936,114.2222843,1385
AID02213,Kwun Tong,22.30638009,114.2241963,1507
AID02214,Kwun Tong,22.30851925,114.2277976,1933
AID02215,Kwun Tong,22.30828304,114.2321164,1196
AID03101,Central & Western,22.287996,114.1379233,807
AID03102,Central & Western,22.2887006,114.1388353,928
AID03103,Central & Western,22.28851255,114.1463558,934
AID03104,Central & Western,22.28869255,114.1432602,829
AID03106,Yau Tsim Mong,22.30780401,114.1607347,801
AID03107,Yau Tsim Mong,22.31424287,114.1611901,1003
AID03108,Yau Tsim Mong,22.31770145,114.1598309,973
AID03109,Yau Tsim Mong,22.31936301,114.159093,906
AID03110,Sham Shui Po,22.32431136,114.1556952,961
AID03111,Sham Shui Po,22.32713749,114.152511,1161
AID03112,Sham Shui Po,22.32897925,114.1495114,1957
AID03113,Sham Shui Po,22.33021588,114.1463564,1115
AID03114,Sham Shui Po,22.33166006,114.1427743,1133
AID03115,Tsuen Wan,22.36920891,114.0768383,1545
AID03116,Tsuen Wan,22.37144646,114.0736228,1032
AID03117,Yuen Long,22.4234468,114.0642015,1446
AID03118,Yuen Long,22.42813342,114.0639257,967
AID03119,Yuen Long,22.43195249,114.0627667,1280
AID03120,Yuen Long,22.43502139,114.060734,1415
AID03121,Yuen Long,22.43745767,114.0580606,1154
AID03122,Yuen Long,22.44005575,114.0544641,825
AID03123,Yuen Long,22.44312344,114.051003,896
AID03124,Yuen Long,22.44718551,114.0489301,1138
AID03125,Yuen Long,22.44964125,114.0482478,712
AID03201,Tsuen Wan,22.37390021,114.0696886,943
AID03202,Kwai Tsing,22.33462042,114.1356001,1653
AID03203,Sham Shui Po,22.33282441,114.1400755,1333
AID03204,Sham Shui Po,22.32936742,114.1486862,2256
AID03205,Sham Shui Po,22.32683954,114.1529091,1438
AID03206,Sham Shui Po,22.32400436,114.1559767,1459
AID03207,Yau Tsim Mong,22.32131349,114.1580057,1765
AID03208,Yau Tsim Mong,22.31895665,114.1592872,1594
AID03209,Yau Tsim Mong,22.31687971,114.1601707,1660
AID03210,Yau Tsim Mong,22.31468536,114.1610542,1525
AID03211,Yau Tsim Mong,22.30700933,114.1609192,1224
AID04101,Central & Western,22.28659457,114.131461,719
AID04102,Central & Western,22.28749888,114.1361379,1130
AID04103,Central & Western,22.28899887,114.1399608,1503
AID04104,Central & Western,22.2890808,114.1429302,1878
AID04105,Central & Western,22.28822405,114.1490826,3192
AID04106,Eastern,22.29326424,114.1971658,2254
AID04107,Eastern,22.2938687,114.201426,2147
AID04108,Eastern,22.29412091,114.2054048,1916
AID04109,Eastern,22.29318113,114.2085875,2405
AID04110,Eastern,22.29116665,114.2117894,2579
AID04111,Eastern,22.28954921,114.2159617,2242
AID04112,Eastern,22.28752487,114.221696,1927
AID04113,Eastern,22.28417443,114.221957,1452
AID04114,Eastern,22.28130192,114.2246342,1609
AID04115,Eastern,22.27997282,114.2297861,1860
AID04116,Eastern,22.28224709,114.2340759,1321
AID04117,Eastern,22.27876033,114.2366555,1379
AID04118,Eastern,22.27529184,114.2385849,1453
AID04119,Eastern,22.27116465,114.2390779,1780
AID04120,Eastern,22.2674807,114.2376307,1408
AID04121,Eastern,22.29385898,114.2056182,1822
AID04122,Eastern,22.29319937,114.2076948,2161
AID04201,Eastern,22.26459999,114.2374257,2626
AID04202,Eastern,22.26897061,114.238,1124
AID04203,Eastern,22.27167045,114.2388744,2034
AID04204,Eastern,22.27640298,114.2376054,1788
AID04205,Eastern,22.27898614,114.2365392,2158
AID04206,Eastern,22.28136181,114.2348324,1717
AID04207,Eastern,22.28126407,114.2301845,1372
AID04208,Eastern,22.28061524,114.2258177,1586
AID04209,Eastern,22.28126586,114.2244401,1403
AID04210,Eastern,22.28600779,114.2214336,1843
AID04211,Eastern,22.28842864,114.2190375,1690
AID04212,Eastern,22.28844642,114.2201049,2530
AID04213,Eastern,22.28910676,114.2157675,2119
AID04214,Eastern,22.29087764,114.2119252,2048
AID04215,Eastern,22.29288308,114.2087816,2061
AID04216,Eastern,22.29389518,114.2052106,2224
AID04217,Eastern,22.29350781,114.1991163,2525
AID04218,Central & Western,22.2875291,114.1515281,1265
AID04219,Central & Western,22.28842253,114.1479666,1623
AID04220,Central & Western,22.28889136,114.1439589,985
AID04221,Central & Western,22.28817674,114.1384473,745
AID04222,Eastern,22.28951355,114.2140112,1247
AID05101,Kwun Tong,22.31542134,114.2182594,1398
AID05102,Kwun Tong,22.31673143,114.2156198,513
AID05103,Kwun Tong,22.31817721,114.2117379,796
AID05104,Kwun Tong,22.3188824,114.2077975,1962
AID05109,Kowloon City,22.30853617,114.1829207,2491
AID05110,Yau Tsim Mong,22.30588128,114.1782331,2777
AID05111,Yau Tsim Mong,22.30716361,114.1739143,1748
AID05112,Yau Tsim Mong,22.30893349,114.1699933,1422
AID05113,Yau Tsim Mong,22.31044147,114.1673631,2711
AID05114,Yau Tsim Mong,22.31326801,114.1668291,1722
AID05115,Yau Tsim Mong,22.3168441,114.1662756,1089
AID05116,Yau Tsim Mong,22.31847848,114.164179,1322
AID05117,Yau Tsim Mong,22.32277686,114.161985,1571
AID05118,Sham Shui Po,22.3267487,114.1595036,1519
AID05119,Sham Shui Po,22.32855591,114.1570438,1535
AID05120,Sham Shui Po,22.33148132,114.1533548,1247
AID05121,Sham Shui Po,22.33557141,114.1485394,1572
AID05122,Sham Shui Po,22.3363472,114.1441031,1778
AID05123,Sham Shui Po,22.3370778,114.1400162,1538
AID05124,Sham Shui Po,22.33798861,114.134774,1684
AID05125,Kwai Tsing,22.3434053,114.1288313,2355
AID05126,Kwai Tsing,22.34817223,114.124898,1759
AID05127,Kwai Tsing,22.35124287,114.1256929,1807
AID05128,Kwai Tsing,22.35607328,114.1228077,2376
AID05129,Tsuen Wan,22.35851063,114.1201757,2190
AID05130,Kwai Tsing,22.36203197,114.1185626,0
AID05131,Tsuen Wan,22.3641441,114.1158044,1750
AID05132,Tsuen Wan,22.36634641,114.1128615,1473
AID05133,Tsuen Wan,22.36950582,114.1096948,1458
AID05134,Tsuen Wan,22.37236722,114.1066931,953
AID05135,Tsuen Wan,22.37420787,114.1031287,1420
AID05201,Tsuen Wan,22.3737916,114.101255,1962
AID05202,Tsuen Wan,22.37201519,114.1070623,967
AID05203,Tsuen Wan,22.36921697,114.1100056,1863
AID05204,Tsuen Wan,22.36650902,114.1130071,2219
AID05205,Kwai Tsing,22.36260975,114.1180866,2311
AID05206,Kwai Tsing,22.35956704,114.1197093,2329
AID05207,Kwai Tsing,22.35655172,114.1222833,1598
AID05208,Kwai Tsing,22.35422265,114.1247501,1781
AID05209,Kwai Tsing,22.34973473,114.1255672,2349
AID05210,Kwai Tsing,22.34654674,114.1249568,1640
AID05211,Kwai Tsing,22.34401896,114.1274235,1945
AID05212,Sham Shui Po,22.33791649,114.1352303,1534
AID05213,Sham Shui Po,22.33717701,114.1394628,1336
AID05214,Sham Shui Po,22.33650957,114.1432003,2024
AID05215,Sham Shui Po,22.33522804,114.1474037,1478
AID05216,Sham Shui Po,22.33542719,114.1501314,2539
AID05217,Sham Shui Po,22.3316168,114.1534712,1225
AID05218,Sham Shui Po,22.3273099,114.1588591,1982
AID05219,Yau Tsim Mong,22.32449274,114.1627517,1442
AID05220,Yau Tsim Mong,22.32209082,114.1654599,1117
AID05221,Yau Tsim Mong,22.3185599,114.1661979,1872
AID05222,Yau Tsim Mong,22.31487545,114.1667417,1428
AID05223,Yau Tsim Mong,22.31002607,114.167499,3324
AID05224,Yau Tsim Mong,22.30898773,114.1716432,1451
AID05225,Yau Tsim Mong,22.30710943,114.1744093,1602
AID05226,Yau Tsim Mong,22.30599868,114.1778352,2273
AID05227,Kowloon City,22.30838266,114.1826198,2588
AID05232,Kwun Tong,22.32081529,114.2059246,1773
AID05233,Kwun Tong,22.31872881,114.2081274,728
AID05234,Kwun Tong,22.31814115,114.2114273,715
AID05235,Kwun Tong,22.316081,114.2165611,974
AID07101,Sai Kung,22.31013704,114.2664351,1337
AID07102,Sai Kung,22.31339861,114.2636323,3683
AID07103,Sai Kung,22.31638994,114.2594218,2154
AID07104,Sai Kung,22.31924529,114.2560361,2514
AID07106,Kwun Tong,22.31304942,114.2371069,2145
AID07107,Kwun Tong,22.31032431,114.2310496,2413
AID07108,Kwun Tong,22.31096633,114.2284682,2058
AID07109,Kwun Tong,22.31357779,114.223102,1685
AID07110,Kwun Tong,22.31546654,114.2181042,1483
AID07111,Kwun Tong,22.31898025,114.2147566,1612
AID07112,Kwun Tong,22.32325183,114.214321,1528
AID07113,Kwun Tong,22.32855321,114.2124102,2244
AID07114,Kwun Tong,22.33063978,114.2100229,2853
AID07115,Kwun Tong,22.33194957,114.2082469,1784
AID07116,Wong Tai Sin,22.33651927,114.2070248,3603
AID07117,Wong Tai Sin,22.33893112,114.203123,2193
AID07118,Wong Tai Sin,22.34170428,114.1977746,2420
AID07119,Wong Tai Sin,22.34167774,114.1929403,2116
AID07120,Wong Tai Sin,22.3425452,114.1863101,2207
AID07121,Kowloon City,22.34317745,114.184223,2813
AID07122,Kowloon City,22.34402646,114.1802138,2012
AID07123,Kowloon City,22.34472185,114.1771074,1567
AID07124,Sham Shui Po,22.34324978,114.1716905,1756
AID07125,Sham Shui Po,22.34166032,114.1695549,2262
AID07126,Sham Shui Po,22.34192192,114.1647205,1856
AID07127,Sham Shui Po,22.34121736,114.1625461,2040
AID07128,Sham Shui Po,22.34249937,114.1592745,2515
AID07129,Sham Shui Po,22.3427697,114.154479,1937
AID07130,Sham Shui Po,22.34164952,114.1517805,1846
AID07131,Sham Shui Po,22.34057439,114.1488005,1802
AID07132,Sham Shui Po,22.34105189,114.1429371,2406
AID07133,Sham Shui Po,22.34105995,114.1385881,1442
AID07134,Sham Shui Po,22.33937063,114.1361035,1341
AID07201,Sham Shui Po,22.33996666,114.1361519,1861
AID07202,Sham Shui Po,22.33995889,114.1415103,2135
AID07203,Sham Shui Po,22.33988751,114.1457331,1868
AID07204,Sham Shui Po,22.3402762,114.1478007,1799
AID07205,Sham Shui Po,22.34184826,114.1522464,1896
AID07206,Sham Shui Po,22.34280593,114.155275,0
AID07207,Sham Shui Po,22.34108183,114.1617987,1452
AID07208,Sham Shui Po,22.3419581,114.1655748,1593
AID07209,Sham Shui Po,22.34224732,114.1699626,1656
AID07210,Kowloon City,22.34291571,114.1743795,1863
AID07211,Kowloon City,22.34463154,114.1764084,1726
AID07212,Wong Tai Sin,22.34402,114.18277,2594
AID07213,Wong Tai Sin,22.3426265,114.1858733,2419
AID07215,Wong Tai Sin,22.34172245,114.1969495,2160
AID07216,Wong Tai Sin,22.34084609,114.1998616,1685
AID07217,Wong Tai Sin,22.33838913,114.2040548,2079
AID07218,Wong Tai Sin,22.33619411,114.2073839,3261
AID07219,Kwun Tong,22.33035973,114.2105276,2248
AID07220,Kwun Tong,22.32806544,114.2129634,1755
AID07221,Kwun Tong,22.32214104,114.2144275,1591
AID07222,Kwun Tong,22.31898025,114.2147955,1484
AID07223,Kwun Tong,22.31629777,114.216435,1810
AID07224,Kwun Tong,22.31462607,114.2204624,2353
AID07225,Kwun Tong,22.31327052,114.2239074,2745
AID07226,Kwun Tong,22.31132772,114.2279442,2067
AID07227,Kwun Tong,22.31101949,114.2315933,1373
AID07228,Kwun Tong,22.31221936,114.2350392,2241
AID07229,Sai Kung,22.3212342,114.2514463,1662
AID07230,Sai Kung,22.31895619,114.256298,2625
AID07231,Sai Kung,22.31563079,114.260557,1939
AID07232,Sai Kung,22.31274793,114.2645248,2217
AID08101,Tsuen Wan,22.32759229,114.0253264,1277
AID08102,Tsuen Wan,22.32524015,114.0209125,1263
AID08103,Tsuen Wan,22.32500998,114.0163896,1291
AID08104,Tsuen Wan,22.32477045,114.0116823,901
AID08105,Tsuen Wan,22.32306814,114.0072583,859
AID08106,Tsuen Wan,22.32110394,114.0029415,933
AID08107,Tsuen Wan,22.31859822,113.9990234,934
AID08108,Tsuen Wan,22.31529949,113.9966885,928
AID08109,Islands,22.31208994,113.9933928,1007
AID08110,Islands,22.30943884,113.988893,878
AID08111,Islands,22.30703196,113.9848395,887
AID08112,Islands,22.30453478,113.9808736,1061
AID08113,Islands,22.30216382,113.9768204,1056
AID08114,Islands,22.30009053,113.9725727,850
AID08115,Islands,22.29876627,113.9680232,1139
AID08116,Islands,22.29795784,113.964395,1537
AID08117,Islands,22.29637847,113.9583322,991
AID08118,Islands,22.29463146,113.9552975,1364
AID08119,Islands,22.29247886,113.9528748,1406
AID08120,Islands,22.29024412,113.9498605,1027
AID08121,Islands,22.28950534,113.9446992,1612
AID08122,Islands,22.29100001,113.940662,1319
AID08201,Islands,22.29380308,113.9379186,835
AID08202,Islands,22.29190915,113.9396104,1420
AID08203,Islands,22.28960394,113.9441848,3265
AID08204,Islands,22.28973677,113.9486968,1095
AID08205,Islands,22.29210812,113.9525261,1009
AID08206,Islands,22.29488468,113.9555688,1179
AID08207,Islands,22.29654157,113.9587395,1124
AID08208,Islands,22.29737647,113.9618048,1010
AID08209,Islands,22.29830307,113.9659763,1154
AID08210,Islands,22.29954683,113.9710984,1191
AID08211,Islands,22.30121328,113.974939,1148
AID08212,Islands,22.30343091,113.9791089,874
AID08213,Islands,22.3059191,113.9830747,968
AID08214,Islands,22.30812677,113.9866335,881
AID08215,Islands,22.31047944,113.9907065,966
AID08216,Islands,22.31342831,113.9950313,1114
AID08217,Tsuen Wan,22.31698039,113.9977831,974
AID08218,Tsuen Wan,22.32018982,114.0010597,1176
AID08219,Tsuen Wan,22.32220823,114.0053472,949
AID08220,Tsuen Wan,22.32410918,114.0096836,1235
AID08221,Tsuen Wan,22.32509802,114.0141182,1030
AID08222,Tsuen Wan,22.32494041,114.0191172,1527
AID08223,Tsuen Wan,22.32582877,114.0226202,1406
AID09101,Tsuen Wan,22.37433425,114.1030219,1298
AID09102,Tsuen Wan,22.37468735,114.105051,3178
AID09103,Tsuen Wan,22.37561012,114.1088762,1160
AID09104,Tsuen Wan,22.37653308,114.1134394,512
AID09105,Tsuen Wan,22.37545196,114.1203145,1069
AID09106,Tsuen Wan,22.37641917,114.123062,796
AID09107,Tsuen Wan,22.37814547,114.1276833,1062
AID09108,Tsuen Wan,22.37997995,114.1321008,1221
AID09109,Tsuen Wan,22.38165159,114.1358484,1407
AID09110,Tsuen Wan,22.380873,114.167063,1345
AID09111,Sha Tin,22.3824695,114.1739419,1205
AID09112,Sha Tin,22.38000419,114.1772628,1706
AID09113,Sha Tin,22.3780897,114.1793504,1186
AID09114,Sha Tin,22.37864942,114.1848172,1782
AID09118,Sha Tin,22.39372906,114.1990254,1438
AID09119,Sha Tin,22.39768407,114.2014539,2107
AID09120,Sha Tin,22.39952611,114.2026196,2027
AID09121,Sha Tin,22.40330041,114.2053202,2291
AID09122,Sha Tin,22.40630672,114.2097689,1466
AID09123,Sha Tin,22.40907864,114.211848,1394
AID09151,North,22.50218399,114.1163854,1530
AID09152,North,22.50103001,114.121702,1242
AID09153,North,22.49983891,114.1244528,1774
AID09154,North,22.49838665,114.1297207,1792
AID09155,North,22.4938281,114.13635,1806
AID09156,North,22.49151691,114.1387704,1193
AID09157,North,22.4884116,114.1439994,1696
AID09201,Tsuen Wan,22.3816788,114.136334,1676
AID09202,Tsuen Wan,22.38072981,114.1332949,1485
AID09203,Tsuen Wan,22.37844371,114.1284697,1046
AID09204,Tsuen Wan,22.37619324,114.1225766,1374
AID09205,Tsuen Wan,22.37525303,114.1195669,2119
AID09206,Tsuen Wan,22.37657839,114.1138278,910
AID09207,Tsuen Wan,22.37557432,114.109653,1098
AID09208,Tsuen Wan,22.3750309,114.1059441,1247
AID09251,North,22.48774374,114.1459625,1757
AID09252,North,22.48848374,114.1435232,1910
AID09253,North,22.49215785,114.1378859,2226
AID09254,North,22.49589538,114.1337255,1964
AID09255,North,22.49821502,114.1295555,1534
AID09256,North,22.49973065,114.1247541,1069
AID09257,North,22.50120147,114.1213617,1400
AID09258,North,22.50222929,114.1167838,1389
AID10101,Tuen Mun,22.41672308,113.9904293,884
AID10102,Tuen Mun,22.41909752,113.9899405,795
AID10103,Tuen Mun,22.41984988,113.9924066,969
AID10104,Tuen Mun,22.4189147,113.988037,609
AID10105,Tuen Mun,22.42283916,113.9848264,894
AID10106,Tuen Mun,22.42589843,113.9831126,658
AID10107,Tuen Mun,22.43015106,113.9825239,616
AID10108,Yuen Long,22.43431618,113.9842666,508
AID10109,Yuen Long,22.43831795,113.9853491,575
AID10110,Yuen Long,22.44333828,113.9848565,611
AID10111,Yuen Long,22.44679305,113.9816264,781
AID10112,Yuen Long,22.44872062,113.9775823,827
AID10113,Yuen Long,22.45255393,113.9738851,562
AID10114,Yuen Long,22.45521534,113.9718604,838
AID10115,Yuen Long,22.45868908,113.9695333,615
AID10116,Yuen Long,22.46257843,113.9674094,596
AID10117,Yuen Long,22.46711682,113.9644295,597
AID10118,Yuen Long,22.47029187,113.9616749,801
AID10119,Yuen Long,22.47367356,113.9581814,619
AID10120,Yuen Long,22.4216398,113.9940651,885
AID10201,Yuen Long,22.4766946,113.9551547,481
AID10202,Yuen Long,22.47351138,113.9584537,527
AID10203,Yuen Long,22.47033708,113.9617234,645
AID10204,Yuen Long,22.46662978,113.9648869,589
AID10205,Yuen Long,22.46260561,113.9674774,466
AID10206,Yuen Long,22.45814778,113.9699421,788
AID10207,Yuen Long,22.45475534,113.9722886,775
AID10208,Yuen Long,22.45266246,113.9740112,731
AID10209,Yuen Long,22.4499747,113.9766576,636
AID10210,Yuen Long,22.44775709,113.9797987,548
AID10211,Yuen Long,22.44608072,113.9825115,573
AID10212,Yuen Long,22.44369017,113.9846131,513
AID10213,Yuen Long,22.43951022,113.9855709,713
AID10214,Yuen Long,22.43509316,113.9845764,552
AID10215,Yuen Long,22.4313886,113.982833,645
AID10216,Tuen Mun,22.42555548,113.9832783,543
AID10217,Tuen Mun,22.42318207,113.984622,647
AID10218,Tuen Mun,22.41925055,113.9895129,634
BC101F,Yuen Long,22.4732254,114.0556398,5750
BC102F,Yuen Long,22.4927649,114.0649812,3883
BC103F,Yuen Long,22.50212205,114.0816315,3358
BC702F,Yuen Long,22.4863216,114.0584951,3703
CW103F,Central & Western,22.28737633,114.1569719,4923
CW803F,Eastern,22.28988738,114.191702,3104
FH104F,North,22.5040348,114.0949935,4149
FH106F,North,22.50049801,114.1240735,6830
FH107F,North,22.49860284,114.127913,4638
FH706F,North,22.49162524,114.1386246,5006
FH711F,Tai Po,22.46557484,114.1503591,3533
H106F,Central & Western,22.2859674,114.1557495,8137
H107F,Central & Western,22.28142516,114.1570698,7024
H108F,Central & Western,22.28036864,114.1576522,6900
H109F,Central & Western,22.27982723,114.1616694,5923
H110F,Central & Western,22.28688829,114.153993,6129
H130F,Central & Western,22.28179051,114.1323068,4529
H132F2,Central & Western,22.27758183,114.130872,6048
H138F,Central & Western,22.27768676,114.1596417,4416
H201F,Wan Chai,22.27783195,114.1685006,6453
H203F,Wan Chai,22.28011673,114.1846175,10651
H204F,Wan Chai,22.28054134,114.1744485,7067
H207F,Wan Chai,22.28128179,114.1819201,6962
H209F,Wan Chai,22.27504169,114.1783686,4306
H210F,Wan Chai,22.27490622,114.1791642,11162
H214F,Wan Chai,22.27981869,114.1685587,4941
H215F,Wan Chai,22.28160696,114.1790867,7801
H216F,Wan Chai,22.27930409,114.1814057,9159
H222F,Wan Chai,22.27971054,114.1765444,9637
H305F,Wan Chai,22.28175082,114.1912256,6920
H307F,Eastern,22.29022115,114.195273,6695
H401F,Southern,22.25055947,114.1706947,5132
H421F,Southern,22.25024351,114.1766512,4691
H422F1,Southern,22.24828309,114.1611004,4539
H422F2,Southern,22.24792186,114.1610034,5924
H429F,Southern,22.2485255,114.1501576,6750
H702F,Central & Western,22.29032691,114.1423865,5027
H703F,Central & Western,22.28871049,114.142678,5062
H801F,Eastern,22.29401254,114.2054047,5609
H802F,Eastern,22.29106727,114.2119641,6212
H803F,Eastern,22.28826553,114.2211432,5519
H903F,Wan Chai,22.27573701,114.1808526,5538
H904F,Wan Chai,22.2793944,114.1813669,6601
HH001F,Tai Po,22.47786575,114.1535925,3665
HH002F,North,22.53028872,114.1709837,2222
HH003F,North,22.53909273,114.1618259,2735
HH004F,North,22.54589147,114.1527062,2675
K101F,Yau Tsim Mong,22.29458393,114.1725851,4425
